"Root/Диалог Бедуина/А, это ты, Ворон.","Ah, it's you, Raven",嗨，是你呀，乌鸦。
"Root/Диалог Бедуина/Хороший вопрос, Ворон.","A good question, Raven. And its answer hides in the time before your birth. We are in the territory now that was full of strategic sites in the past. Our Bunker was a part of a huge underground complext with the resources for many generations. Then the settlement developed, we formed the Commune, elected the Head, there were many people in it. We had expeditions to search for supplies in other parts of this enormous underground world.",问得好，乌鸦。这就要涉及到你出生之前的事了。我们现在在过去充满战略意义的领土上。我们的地堡是一个巨大的地下综合体的一部分，有着许多代人的资源。后来我们定居在此，然后发展起来，我们成立了组织，选举了领导者，里面有很多人。我们发起远征，到这个巨大的地下世界的其他地方来寻找补给。
"Root/Диалог Бедуина/Я тогда был не старше тебя, Ворон.","Good point, Raven. The question is in the past, when you are not born yet. We are on territory, which was full of military objects. Our bunker was the part of giant underground complex and resources were available for multiple generations ahead. The settlement was growing an community was founded. A lot of expeditions was sent to find supplies all around the globe.",说的好，乌鸦。问题在于你还未出生的过去。我们那时在一个充满军事要塞的领土上。我们的地堡是巨大的地下建筑群的一部分，未来几代人都可以获得资源。这个定居点逐渐形成了一个组织。许多探险小分队被派往世界各地寻找补给。  
"Root/Диалог Бедуина/Да, всего из нашего бункера можно было попасть в комплекс.","Yes, it's possible to get into the complex through 3 gateways. The third as I already mentioned is piled and it's impossible to unblock it. The first gate was connected to third, and it's on our lands, but the same blockage is messing it up. What making things worst is that there are alot of mutants. We never managed to clear the place. After one of expeditions we got «S-virus» here. The rest is the history. You know.",是的，有可能通过3个关口进入那些科技园。我前面提到的第三个是封死的，不可能打开。第一道关口与第三道关口相连，它就在我们的土地上，但同样的障碍物把它们弄乱了。最糟糕的是那里有很多突变体。我们从未清理过那地方。在一次探险之后，我们发现了《S病毒》。剩下的就是历史。你就都知道了。 
Root/Диалог Бедуина/Всё так. Бункер потерял три четверти населения.,"Definitely. Bunker lost 3/4 of its population. There were placed most resources but decision was made and passage has been destroyed. Not sure it was a good idea but commander don't wanted to risk. And now there are not a lot of people. We were using our own resourses, trying to save people and prolongue existance of community, but now we on the edge.",确切地说，地堡丢了3/4的人。大部分资源都被放置在那里，但决策已经做出，通道也被破坏了。虽然这可能不是个好主意，但指挥官不想冒险。现在人不多了。我们利用自己的资源，试图拯救人们，保持组织的存在，但现在我们处在存亡的边缘。
Root/Диалог Бедуина/Всем необходимым тебя обеспечит Егерь.,Eger will give you all you need. He should also tell you about the world outside of our boundaries.,埃杰会给你你需要的所有东西。他也会告诉你外面的情况。
"Root/Диалог Ворона/Спасибо, Командир.","Thanks, commander!",谢谢你，指挥官。
"Root/Диалог Бедуина/Если вопросов больше нет, иди.",If you have no any questions. Talk with professor Eugen and Milana. And remember - don't tell anyone. We don't need a panic.,如果你没问题了，就去找尤金教授和米拉娜聊聊。记住——不能告诉任何人这件事，我们不需要引起的恐慌。
Root/Диалог Ворона/Вопросов нет.,I have no questions.,我没有其他问题了。
Root/Завершаем и выдаем задания/Срочный вызов,"<color=""white"">Mission completed:</color>
Urgent call.","<color=""white"">任务完成：</color>
紧急谈话。"
Root/Завершаем и выдаем задания/В дорогу,"<color=""white"">New mission:</color>
Let's hit the road.","<color=""white"">新任务：</color>
准备出发。"
Root/Завершаем и выдаем задания/Подземные научные комплексы.,"<color=""white"">New mission:</color>
Underground scientific complexes.","<color=""white"">新任务：</color>
地下科技园。"
"Root/Диалог Бедуина/Да, чуть не забыл.",I almost forgot. Visit Maks. He is trying to make radio station and he lack of some parts.,我差点忘了。马克斯找你。他想做个无线电台，但是缺点东西。
Root/Диалог Ворона/Хорошо.,I'll do.,我这就去。
"Root/Завершаем и выдаем задания/Новое задание ""Дельце Макса""","<color=""white"">New mission:</color>
Maks business.","<color=""white"">新任务：</color>
马克斯的事情。"
